s,x,y,yaw,curvature,csv_speed,curve_speed,reference_speed
60.000000000,59.925732503,-2.125880514,0.113161920,0.017493342,4.717911939,10.399376289,4.717911939
60.250000000,60.174074377,-2.097138187,0.117065873,0.017190666,4.727576091,10.485537432,4.727576091
60.500000000,60.422308691,-2.067481369,0.121050832,0.016359430,4.735675160,10.733646026,4.735675160
60.750000000,60.670413417,-2.036760735,0.125771564,0.015197816,4.733810596,11.111860287,4.733810596
61.000000000,60.918356337,-2.004761621,0.129870308,0.013770441,4.692676305,11.636389853,4.680008562
61.250000000,61.166201380,-1.972008144,0.132898884,0.012001593,4.711816876,12.402713576,4.571923024
61.500000000,61.413946435,-1.938507729,0.135323405,0.010601630,4.601178173,13.129720654,4.461219580
61.750000000,61.661629802,-1.904552823,0.137219359,0.010303858,4.444981130,13.301531881,4.347698258
62.000000000,61.909246193,-1.870113204,0.139606983,0.009984969,4.291895262,13.493219310,4.231132253
62.250000000,62.156764513,-1.834975951,0.142538972,0.007912222,4.157477924,14.980351133,4.111262597
62.500000000,62.404174447,-1.799084951,0.145989865,0.004025925,3.987791386,19.948351081,3.987791386
62.750000000,62.651444178,-1.762240258,0.147194837,-0.000650106,3.939708925,34.814416726,3.939708925
63.000000000,62.898767018,-1.725753101,0.145128473,-0.004937607,3.973290208,18.353093760,3.973290208
63.250000000,63.146186815,-1.689930632,0.141762670,-0.008103440,4.008725301,14.822185155,4.008725301
63.500000000,63.393749738,-1.655109158,0.138758029,-0.009500575,4.042459748,13.800933569,4.042459748
63.750000000,63.641380676,-1.620774095,0.137426792,-0.008757002,4.071662223,14.317157598,4.071662223
64.000000000,63.889035558,-1.586611856,0.135499319,-0.006826106,4.096771107,15.986085617,4.096771107
64.250000000,64.136796989,-1.553231654,0.133072570,-0.005108718,4.079641815,18.094224547,4.079641815
64.500000000,64.384614759,-1.520271805,0.131926080,-0.003281803,4.139643419,21.612332687,4.139643419
64.750000000,64.632452131,-1.487459795,0.131529346,-0.000550083,4.170523437,35.920094603,4.170523437
65.000000000,64.880295976,-1.454696592,0.131883681,0.002139692,4.199562252,25.238961748,4.199562252
65.250000000,65.128110034,-1.421708955,0.132837926,0.004124297,4.231942086,19.755946790,4.231942086
65.500000000,65.375890817,-1.388472816,0.134358752,0.005674973,4.245454765,17.309728110,4.245454765
65.750000000,65.623603404,-1.354731567,0.135989126,0.006759672,4.247290540,16.054371907,4.247290540
66.000000000,65.871274457,-1.320687660,0.137777043,0.007547366,4.260285465,15.296738720,4.260285465
66.250000000,66.118864681,-1.286060868,0.139823412,0.008688326,4.302862035,14.367811955,4.302862035
66.500000000,66.366394415,-1.251003584,0.141797372,0.010367581,4.327219149,13.264197282,4.327219149
66.750000000,66.613846067,-1.215399588,0.144267719,0.011951774,4.347762514,12.426544047,4.347762514
67.000000000,66.861199383,-1.179119797,0.147800978,0.013114218,4.367622437,11.903826455,4.367622437
67.250000000,67.108393116,-1.141768105,0.151884135,0.014033109,4.391413512,11.534282788,4.391413512
67.500000000,67.355441645,-1.103469623,0.155595745,0.014742283,4.374359334,11.271485222,4.374359334
67.750000000,67.602351389,-1.064283991,0.158810564,0.015467785,4.393552257,11.020401204,4.393552257
68.000000000,67.849148833,-1.024397834,0.162337289,0.016428265,4.411531526,10.712428131,4.411531526
68.250000000,68.095775774,-0.983471670,0.166587085,0.017107110,4.431304280,10.509702671,4.431304280
68.500000000,68.342225334,-0.941489296,0.171767485,0.017721910,4.442490077,10.335700609,4.442490077
68.750000000,68.588415194,-0.898010090,0.176783023,0.018591816,4.479494233,10.103635035,4.479494233
69.000000000,68.834431365,-0.853557691,0.180391060,0.018857184,4.412229808,10.035896392,4.412229808
69.250000000,69.080300285,-0.808303251,0.185061569,0.018521293,4.478127898,10.121868960,4.478127898
69.500000000,69.325890057,-0.761554871,0.190342292,0.018603570,4.496097525,10.100605590,4.496097525
69.750000000,69.571267535,-0.713706228,0.195155179,0.018743939,4.514300347,10.064636668,4.514300347
70.000000000,69.816396074,-0.664596035,0.199698507,0.018514047,4.529810703,10.123747985,4.529810703
70.250000000,70.061329114,-0.614519640,0.203984435,0.018530413,4.535970251,10.119505407,4.535970251
70.500000000,70.306027676,-0.563310073,0.208327946,0.018640614,4.509390193,10.091075752,4.509390193
